event,owner,liquidated,first_liq,block_label,block_time,health_factor
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h78,,0.8984
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h84,,0.8918
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h90,,0.9183
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h00,,1.0439
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h06,,1.0459
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h12,,1.0462
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h18,,1.0701
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h24,,1.067
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h30,,0.9164
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h36,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h42,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h48,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h54,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h60,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h66,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h72,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h78,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h84,,
aave-aug24,0x303e327a0fbe4361033eaa50cdebaa5b4f4f6056,true,2024-08-04T17:41:21.000Z,h90,,
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h00,,1.2864
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h06,,1.2888
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h12,,1.2892
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h18,,1.1932
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h24,,1.1898
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h30,,1.0219
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h36,,1.133
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h42,,1.2227
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h48,,1.1966
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h54,,1.5061
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h60,,1.4671
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h66,,1.4824
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h72,,1.469
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h78,,1.4969
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h84,,1.4764
aave-aug24,0x604f8ad0095c23ac702a551add4506d704dac187,true,2024-08-05T06:36:11.000Z,h90,,1.4139
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h00,,1.1435
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h06,,1.1457
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h12,,1.146
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h18,,1.0607
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h24,,1.0577
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h30,,1.0202
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h36,,1.1297
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h42,,1.2192
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h48,,1.1932
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h54,,1.2448
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h60,,1.2125
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h66,,1.2252
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h72,,1.2141
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h78,,1.2371
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h84,,1.2203
aave-aug24,0x6e4c2b7616af22ba0ce2386f35e8f0772110aff9,true,2024-08-05T01:01:45.000Z,h90,,1.1686
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h00,,1.1523
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h06,,1.1544
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h12,,1.1548
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h18,,1.0688
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h24,,1.0658
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h30,,0.9153
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h36,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h42,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h48,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h54,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h60,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h66,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h72,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h78,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h84,,
aave-aug24,0x0cada3e4b5ec74acb1e0709274cfdd5afcd48819,true,2024-08-05T06:36:11.000Z,h90,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h00,,1.0335
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h06,,1.0353
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h12,,1.0357
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h18,,0.9617
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h24,,0.9591
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h30,,0.8285
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h36,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h42,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h48,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h54,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h60,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h66,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h72,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h78,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h84,,
aave-aug24,0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,true,2024-08-05T06:36:31.000Z,h90,,
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h00,,1.2943
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h06,,1.2967
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h12,,1.2971
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h18,,1.2005
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h24,,1.1971
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h30,,1.0281
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h36,,1.1486
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h42,,1.2395
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h48,,1.2131
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h54,,1.2656
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h60,,1.2328
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h66,,1.2457
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h72,,1.2344
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h78,,1.2578
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h84,,1.2406
aave-aug24,0xcf4e7c9210bd2aedea2414b2d66e9cb969b83f5f,true,2024-08-05T06:35:45.000Z,h90,,1.1881
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h00,,1.0961
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h06,,1.0981
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h12,,1.0985
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h18,,1.0167
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h24,,1.0138
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h30,,0.9818
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h36,,1.0566
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h42,,1.1403
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h48,,1.116
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h54,,1.1642
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h60,,1.1341
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h66,,1.1459
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h72,,1.1355
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h78,,1.1571
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h84,,1.1413
aave-aug24,0x91cd387836929aef383f9fe631f2a53b1a62af8c,true,2024-08-05T00:35:53.000Z,h90,,1.0929
aave-aug24,0x7a0326780a0cdfd314245edfb5459e3ae509a42f,true,2024-08-05T00:40:49.000Z,h00,,1.1121
aave-aug24,0x7a0326780a0cdfd314245edfb5459e3ae509a42f,true,2024-08-05T00:40:49.000Z,h06,,1.1142
aave-aug24,0x7a0326780a0cdfd314245edfb5459e3ae509a42f,true,2024-08-05T00:40:49.000Z,h12,,1.1145
aave-aug24,0x7a0326780a0cdfd314245edfb5459e3ae509a42f,true,2024-08-05T00:40:49.000Z,h18,,1.0315
aave-aug24,0x7a0326780a0cdfd314245edfb5459e3ae509a42f,true,2024-08-05T00:40:49.000Z,h24,,1.0285
aave-aug24,0x7a0326780a0cdfd314245edfb5459e3ae509a42f,true,2024-08-05T00:40:49.000Z,h30,,1.1235
