protocol,event,owner,first_liq
moonwell,Aug-2024,0x2c1e81537511d8d9913d7baac9d5367771b4c978,2024-08-04T22:01:51.000Z
moonwell,Aug-2024,0xb6f77b40d9cd022a6e0a44ae983afc66078077d9,2024-08-04T17:11:37.000Z
moonwell,Aug-2024,0xf0a5becb0fa3d33a3ce9024e276657277a77715a,2024-08-05T21:49:57.000Z
moonwell,Aug-2024,0x90a20675241104a28d77ea3e1f8d2d2e0a692e38,2024-08-04T00:56:47.000Z
moonwell,Aug-2024,0xf9cf320687193680717fccc71c23dc7c97ef8138,2024-08-04T01:35:05.000Z
moonwell,Aug-2024,0x21f4e6923bf280acd44d9354623275c5c021641b,2024-08-05T01:18:29.000Z
moonwell,Aug-2024,0xacab2a357e1b0e4108e4b0715aadcd7368302fb1,2024-08-05T03:53:01.000Z
moonwell,Aug-2024,0xda0abea7d9516ebd38a82df246bd812830462b02,2024-08-04T17:10:41.000Z
moonwell,Aug-2024,0x4a39fb3ded9bf1037002b39d616fed13733c36ff,2024-08-04T23:03:49.000Z
moonwell,Aug-2024,0x588fc474eba9de2629a478b9fcb5b6a95a171c04,2024-08-06T03:57:09.000Z
moonwell,Aug-2024,0x996181e5a26df657e56b4e7161f19d06d0ce8b99,2024-08-04T01:38:53.000Z
moonwell,Aug-2024,0x1678509f144bc353c650f5417ffee0d51bb45a69,2024-08-05T06:12:07.000Z
moonwell,Aug-2024,0x44c873bac56df46b7e3143b223849aebef64c758,2024-08-05T10:44:41.000Z
moonwell,Aug-2024,0xe4b637acad57c7b778b432ffcb5efaabbab45301,2024-08-05T01:18:39.000Z
moonwell,Aug-2024,0xae1cbe8f7c2f674efce1b39b31f74f5e1a5308bf,2024-08-06T22:07:41.000Z
moonwell,Aug-2024,0xe8dbe4842566bcc292a811c71e8df3ebb23098ad,2024-08-04T21:54:03.000Z
moonwell,Aug-2024,0x33cf938d87d8479df5c3c8adf047a007472f85e6,2024-08-05T06:38:43.000Z
moonwell,Aug-2024,0xdd1461e74489e1e5094c251670f3100c5be3ccb3,2024-08-04T01:48:07.000Z
moonwell,Aug-2024,0x0ddb52057ee600b461fc1093b47af5ea6239984d,2024-08-05T01:25:29.000Z
moonwell,Aug-2024,0x88e57c01beba95b51006df6de835fdec38d370af,2024-08-05T01:10:51.000Z
moonwell,Aug-2024,0xe68f5e82929073d9a580b89b3a8e01ba1712d397,2024-08-05T04:16:55.000Z
moonwell,Aug-2024,0xd10da00b151bf8b9325fdad2f7df820173f82250,2024-08-06T21:50:31.000Z
moonwell,Aug-2024,0xdd72bc08d4769fce58eff67402efe175f09ef23c,2024-08-05T04:10:49.000Z
moonwell,Aug-2024,0xd0b97e7a82c45dec8a8b1b30dd46c95937725c71,2024-08-05T21:49:57.000Z
moonwell,Aug-2024,0xfb80d4850bf15a14d0fd6720e73ef49922910a17,2024-08-04T01:43:05.000Z
moonwell,Aug-2024,0xed30c218d1433b43433561858baff0fc707702f9,2024-08-04T21:47:15.000Z
moonwell,Aug-2024,0x2d2f3aeb4e2a942eb8820293c6b5e0db512feea1,2024-08-05T00:36:59.000Z
moonwell,Aug-2024,0x979192d01aaa43d9973fc3984a64b11f34375346,2024-08-05T02:18:07.000Z
moonwell,Aug-2024,0xc8219abc650309e02894d5553c1cb3a0b387a08f,2024-08-05T01:18:05.000Z
moonwell,Aug-2024,0xf999c40179b8c7c373135ba35bb60d60c868268e,2024-08-04T16:55:47.000Z
moonwell,Aug-2024,0xc8bca413af14f3e86654d6244b43757c30c88e0e,2024-08-06T22:07:55.000Z
